4, chemville, Lab1, Theory, sp-A
12, chemville, Dorm1, B, sp-A
8, chemville, Dorm1, C, sp-A
10, chemville, Dorm1, D, sp-A
99, chemville, Dorm1, D, sp-B
90, chemville, Dorm1, D, sp-C
40, chemville, Dorm2, B, sp-A
42, chemville, Dorm2, B, sp-B
50, chemville, Dorm2, C, sp-A
54, chemville, Dorm2, C, sp-B
56, chemville, Dorm2, C, sp-C
58, chemville, Dorm2, C, sp-D
48, chemville, Dorm3, A, sp-A
4, chemville, Dorm3, A, sp-B
2, chemville, Dorm3, B, sp-A
46, chemville, Dorm3, C, sp-A
6, chemville, Dorm3, C, sp-B
14, chemville, Dorm4, A, sp-A
16, chemville, Dorm4, B, sp-A
18, chemville, Dorm4, C, sp-A
